Designator,Footprint,Quantity,Comment,Supplier and ref
"C23,C24,C9,C27,C21,C11,C25,C33,C22,C34,C5,C10,C30,C18,C16,C17,C31,C32,C13,C29,C15,C12,C28,C8,C26,C14",C_0603_1608Metric,26,100n,
"U7,U9,U6,U10,U11,U12,U8",VSSOP-8_2.3x2mm_P0.5mm,7,74LVC2T45DC,
"C4,C6,C7,C3",C_0805_2012Metric,4,10u,
"RN2,RN1",R_Array_Concave_4x0603,2,100,
"U3,U4",SOT-23-6,2,AP22653,
"R45,R46,R26,R43,R44",R_0603_1608Metric,5,270,
"LD2,LD4,LD3,LD1",XL-3210SURUGC,4,XL-3210SURUGC,
"R32,R33,R30",R_0603_1608Metric,3,4k7,
"R9,R31,R35,R34,R1,R36,R8",R_0603_1608Metric,7,10k,
R4,R_0603_1608Metric,1,2k2,
"R41,R39,R42,R38,R37,R40",R_0603_1608Metric,6,100,
F1,Fuse_0805_2012Metric,1,500mA,
Y2,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-8.000MHZ-B2-T,
"C19,C1,C2,C20",C_0603_1608Metric,4,27p,
"R6,R25,R5",R_0603_1608Metric,3,1k,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-12.000MHZ-B2-T,
"R2,R3",R_0603_1608Metric,2,68,
"R7,R10",R_0603_1608Metric,2,210k,
U5,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F103CBUx,
"SW1,SW2",XUNPU_TS-1088-AR02016,2,XUNPU TS-1088-AR02016,
R29,R_0603_1608Metric,1,1k5,
Q8,SOT-563,1,DMG1023UV,
Q7,SOT-563,1,DMG1024UV,
"D3,D2",D_SOD-323,2,3V3,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ATmega8A-M,
"R28,R27",R_0603_1608Metric,2,22,
Q1,SOT-23,1,BSS138,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
