Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,27p,C_0603_1608Metric,125.5,-70.9,90,top
C2,27p,C_0603_1608Metric,128.25,-74.4,0,top
C3,10u,C_0805_2012Metric,124.9,-80.05,90,top
C4,10u,C_0805_2012Metric,128.5,-80,90,top
C5,100n,C_0603_1608Metric,128.3,-68.2,180,top
C6,10u,C_0805_2012Metric,138.8,-71.8,90,top
C7,10u,C_0805_2012Metric,129.55,-117.1,0,top
C8,100n,C_0603_1608Metric,130.3,-80.1,90,top
C9,100n,C_0603_1608Metric,126.7,-80.1,90,top
C10,100n,C_0603_1608Metric,131.4,-92.7625,180,top
C11,100n,C_0603_1608Metric,127.7,-92.7625,180,top
C12,100n,C_0603_1608Metric,135.4,-137.5,-90,top
C13,100n,C_0603_1608Metric,125.7,-132.4,180,top
C14,100n,C_0603_1608Metric,138.55,-124.3,-90,top
C15,100n,C_0603_1608Metric,137.1,-134.3,-90,top
C16,100n,C_0603_1608Metric,125.7,-127.45,180,top
C17,100n,C_0603_1608Metric,129.6,-120.6,90,top
C18,100n,C_0603_1608Metric,141.9,-127.5,180,top
C19,27p,C_0603_1608Metric,129.9,-137.8,180,top
C20,27p,C_0603_1608Metric,132.8,-135.3,90,top
C21,100n,C_0603_1608Metric,141.8,-122.3,90,top
C22,100n,C_0603_1608Metric,141.8,-119.3,-90,top
C23,100n,C_0603_1608Metric,137.6,-109.7,0,top
C24,100n,C_0603_1608Metric,140.6,-109.7,180,top
C25,100n,C_0603_1608Metric,137.7,-114.1,0,top
C26,100n,C_0603_1608Metric,140.7,-114.1,180,top
C27,100n,C_0603_1608Metric,137.6,-105.2,0,top
C28,100n,C_0603_1608Metric,140.6,-105.2,180,top
C29,100n,C_0603_1608Metric,135.1,-82.6,0,top
C30,100n,C_0603_1608Metric,138.1,-82.6,180,top
C31,100n,C_0603_1608Metric,135.1,-87.9,0,top
C32,100n,C_0603_1608Metric,138.1,-87.9,180,top
C33,100n,C_0603_1608Metric,135.115,-93,0,top
C34,100n,C_0603_1608Metric,138.115,-93,180,top
D2,3V3,D_SOD-323,135.3,-79.2,-90,top
D3,3V3,D_SOD-323,133.4,-79.2,-90,top
F1,500mA,Fuse_0805_2012Metric,125.2,-86.2,90,top
LD1,XL-3210SURUGC,XL-3210SURUGC,151.5,-76,-90,top
LD2,XL-3210SURUGC,XL-3210SURUGC,151.5,-102.5,-90,top
